Query	Label	Label_names
windows security essentials	1	Windows
www.java.com download	8	Others
office my account	3	Office
change search engine from bing to google	5	Bing
visual studio	7	visualstudio
windows 10 free download full version	1	Windows
ie11	2	ie
java update checker	8	Others
microsoft 	1	Windows
homail	1	Windows
csrss.exe	1	Windows
mail 365	3	Office
microsoft 365 login	3	Office
update settings	1	Windows
in private browsing internet explorer	2	ie
file extension rtc	8	Others
hotail	8	Others
adobe flash player windows 8.1 release 11.9	8	Others
file extension dmp	8	Others
Make Internet Explorer My Homepage	2	ie
windows app store	1	Windows
enternet	2	ie
trovi	2	ie
pst	3	Office
microsoft account password reset	1	Windows
skype download for windows 7	4	skype
virtual clone drive	3	Office
onedrive for business	3	Office
Latest free Xbox live games	5	xbox
cookies	2	ie
Java(tm) Plug-In SSV Helper ssv.dll	8	Others
Outlook Web Access	3	Office
download google chrome 2014 for windows 8	8	Others
Access My Outlook Mail	3	Office
file extension deskthemepack	8	Others
remote desktop	1	Windows
bing desktop	5	Bing
bing bar	5	Bing
meta	9	sql
download internet explorer	2	ie
encarta	8	Others
windows live mail	1	Windows
Logging into UltiPro	8	Others
onedrive microsoft	3	Office
windows live mail download	1	Windows
system restore	1	Windows
make google my search engine and remove bing	5	Bing
virus removal	1	Windows
file extension dll	8	Others
enable cookies	2	ie
Restore MSN as Home Page	8	Others
internet explorer home page	2	ie
sk	4	skype
ondrive	3	Office
Outlook Webmail	3	Office
file extension wlmp	8	Others
file extension epub	8	Others
disk cleanup	1	Windows
365 Outlook Sign in	3	Office
app store free download	1	Windows
virtual clonedrive	3	Office
snipping tool	1	Windows
documents	1	Windows
java script	8	Others
windows 8.1 download free full version	1	Windows
live email sign in	1	Windows
Read Email	3	Office
windows 8	1	Windows
file extension qfx	8	Others
iso to usb	8	Others
file extension diagcab	8	Others
outlook web app	3	Office
control panel add or remove programs	1	Windows
Open E Mail Inbox	3	Office
explorer update	2	ie
mslms.cloudapp.net	8	Others
file extension prn	8	Others
printer offline how to put online	1	Windows
xbox one games	5	xbox
notepad ++	1	Windows
microsoft security essentials 64-bit version	1	Windows
plugins	1	Windows
Log into Outlook Email	3	Office
htomail	8	Others
internet explorer 8	2	ie
microsoft onedrive	3	Office
notepad online	1	Windows
outlook.office365.com	3	Office
microsoft 360 login	3	Office
office 2010 download	3	Office
xbox 360 games	5	xbox
windows defender is turned off	1	Windows
download manager	2	ie
ie 10 download	2	ie
I Want to Log in	1	Windows
start page	7	visualstudio
create microsoft account	1	Windows
skype download	4	skype
windows vista	1	Windows
Sign in to Microsoft	1	Windows
internet explorer updates	2	ie
ad block plus	2	ie
outlook 365	3	Office
msn email sign in	8	Others
ie 9 download	2	ie
microsoft download center	8	Others
green screen when playing videos windows 8	8	Others
windows insider	1	Windows
office 365 sign in	3	Office
project spark	5	xbox
Internet Explorer for Windows 8	2	ie
microsoft movie maker	1	Windows
hotmi	8	Others
windows store apps	1	Windows
windows defender windows 8	1	Windows
clear history	2	ie
msn messenger	8	Others
windows 7 upgrade	1	Windows
windows explorer	2	ie
delete cookies	2	ie
skype sign up	4	skype
ie update	2	ie
malwarebytes free windows 8.1	1	Windows
google chrome download 2014 for windows 8	8	Others
database	9	sql
private browsing	2	ie
live email	1	Windows
visual studio express	7	visualstudio
file extension ofx	8	Others
digital river	8	Others
games with gold	5	xbox
print screen on pc	1	Windows
enternet explorer	2	ie
microsoft office	3	Office
microsoft security	1	Windows
sharepoint online	3	Office
dvd player	1	Windows
Internet Explorer Update Check	2	ie
ms security essentials	1	Windows
internet explorer 10	2	ie
windows mail	1	Windows
support	1	Windows
how to change search engine internet explorer	5	Bing
uninstall office 2013	3	Office
ie 11 download for windows 7 64 bit	2	ie
onedrive.com	3	Office
newspaper template	3	Office
internet explorer has stopped working	2	ie
file extension bin	8	Others
how to clear cache in internet explorer	2	ie
internetexplorer	2	ie
bluetooth settings	1	Windows
cmd run as administrator	1	Windows
msn sign in	8	Others
screenshot in windows 8	1	Windows
Log Into My Yahoo Email	8	Others
windows 8 tutorial	1	Windows
502 Bad Gateway	2	ie
explorer 9 download	2	ie
xbox live account	5	xbox
file extension aspx	8	Others
.net 4.0	7	visualstudio
windows defender won't turn on	1	Windows
windows update 8.1	1	Windows
file extension kmz	8	Others
free downloads	1	Windows
wallpapers and screensavers	1	Windows
outlook express email access	3	Office
Log in to Outlook Web App	3	Office
Latest Kinect games	5	xbox
microsoft account login	1	Windows
Hello Microsoft122	8	Others
hotmsil	8	Others
microsoft office 2010 product key	3	Office
mymsn	8	Others
.net 4.5	7	visualstudio
www.microsoft.com/licensing/servicecenter	1	Windows
movie making software	1	Windows
htmail	8	Others
verifyme.microsoft.com	8	Others
www.xbox.com	5	xbox
microsoft app store	1	Windows
how to enable cookies in internet explorer	2	ie
google chrome won't open	8	Others
screensavers	1	Windows
windows 10 technical preview	1	Windows
microsoft office templates	3	Office
Microsoft Office Clip Art	3	Office
windows 8 safe mode	1	Windows
beautyoftheweb	2	ie
outlook sign in	3	Office
outlook office 365	3	Office
toolbars for internet explorer	2	ie
office 2013 download	8	Others
skype for desktop	4	skype
adblock plus internet explorer 11	2	ie
windows 7 professional	1	Windows
Reinstall Internet Explorer	2	ie
Microsoft 365 Sign in	3	Office
trovi uninstall	2	ie
make bing my search engine	5	Bing
video editor	1	Windows
windows live essentials	1	Windows
update java	8	Others
msvcr100.dll is missing from your computer	1	Windows
microsoft security essentials for windows 8	1	Windows
file extension notebook	1	Windows
file extension bup	8	Others
file extension mui	8	Others
microsoft defender	1	Windows
livemail	1	Windows
javascript download	8	Others
printer	1	Windows
dxdiag	1	Windows
file extension tsv	8	Others
osi model	8	Others
windows 7 themes	1	Windows
snip it tool	1	Windows
print screen	1	Windows
microsoft live	5	xbox
Shut down.	1	Windows
search protect	8	Others
My Documents	1	Windows
msn mail	8	Others
microsoft games	8	Others
command prompt	1	Windows
ie9 download	2	ie
screen savers	1	Windows
file extension odm	8	Others
xboxlive	5	xbox
sql server	9	sql
Sign in to Office 365	3	Office
windows mobile device center	1	Windows
jotmail	1	Windows
moviemaker	1	Windows
themes	1	Windows
how to take a screen shot	1	Windows
keyboard	1	Windows
windows movie maker for 8.1	1	Windows
file extension config	8	Others
email	1	Windows
google bar	8	Others
vista service pack 2	1	Windows
make a movie	1	Windows
free wallpaper	1	Windows
windows media center	1	Windows
mse download	1	Windows
gmail email	8	Others
Service Pack 1 Windows 7	1	Windows
download windows media player	1	Windows
file extension skp	8	Others
Free Microsoft Clip Art	3	Office
Outlook Web App Sign in	3	Office
set google as homepage	8	Others
java 64-bit	8	Others
windows xp mode	1	Windows
system restore to earlier time	1	Windows
bing rewards login	5	Bing
download	4	skype
how to scan from printer to computer	1	Windows
directx 11.2 download windows 8.1	1	Windows
Open Skype.	4	skype
How to Log into UltiPro	8	Others
activex download windows 7	1	Windows
clear cache internet explorer	2	ie
bitlocker	1	Windows
google chrome for windows 8.1	8	Others
msn home page	8	Others
Office 365 Outlook Log in	8	Others
windows media player for windows 8	1	Windows
xbox one controller	5	xbox
driver update	1	Windows
live.xbox.com	5	xbox
mail live	1	Windows
inprivate browsing	2	ie
www.xbox.com/errorhelp	5	xbox
one plus one	3	Office
internet exploer	2	ie
firefox mozilla 8.1 free download	8	Others
backgrounds for desktop	1	Windows
xbox360	5	xbox
firefox download windows 8	8	Others
windows central	1	Windows
how to get rid of trovi	8	Others
microsoft .net framework 4.0 download	7	visualstudio
wonderwall.msn.com	8	Others
www.outlook.com email	3	Office
secure boot isn't configured correctly 8.1	1	Windows
smartglass	5	xbox
how to print screen	1	Windows
microsoft antivirus	1	Windows
